Time,Sequence Number,Event
127.4608,166000,send
127.4608,167000,send
127.4608,168000,send
127.4608,169000,send
127.4608,170000,send
127.4608,161000,transmit
127.4616,163000,transmit
127.4624,164000,transmit
127.4632,169000,transmit
128.4608,161000,send
129.4608,161000,send
129.4608,161000,transmit
129.4816,161000,ack
129.4816,162000,send
129.4816,163000,send
129.4816,164000,send
129.4816,165000,send
129.4816,166000,send
129.4816,167000,send
129.4816,168000,send
129.4816,169000,send
129.4816,170000,send
129.4816,171000,send
129.4816,162000,transmit
129.4824,163000,transmit
129.4832,164000,transmit
129.484,166000,transmit
129.4848,169000,transmit
129.504,164000,ack
129.504,172000,send
129.504,173000,send
129.504,174000,send
129.5048,164000,ack
130.5048,165000,send
130.5048,165000,transmit
131.5048,165000,send
132.5048,165000,send
132.5048,165000,transmit
132.5256,166000,ack
132.5256,167000,send
132.5256,168000,send
132.5256,169000,send
132.5256,170000,send
132.5256,171000,send
132.5256,172000,send
132.5256,173000,send
132.5256,174000,send
132.5256,175000,send
132.5256,176000,send
132.5256,168000,transmit
132.5264,169000,transmit
132.5272,170000,transmit
132.528,171000,transmit
132.5288,172000,transmit
132.5296,173000,transmit
132.5304,174000,transmit
132.5312,175000,transmit
132.5472,166000,ack
132.548,166000,ack
132.5488,166000,ack
132.5504,166000,ack
132.5512,166000,ack
133.5512,167000,send
133.5512,167000,transmit
133.572,175000,ack
133.572,176000,send
133.572,177000,send
133.572,178000,send
133.572,179000,send
133.572,180000,send
133.572,181000,send
133.572,182000,send
133.572,183000,send
133.572,184000,send
133.572,185000,send
133.572,177000,transmit
133.5728,180000,transmit
133.5736,185000,transmit
133.5944,175000,ack
134.5944,176000,send
134.5944,176000,transmit
135.5944,176000,send
135.5944,176000,transmit
135.6152,177000,ack
135.6152,178000,send
135.6152,179000,send
135.6152,180000,send
135.6152,181000,send
135.6152,182000,send
135.6152,183000,send
135.6152,184000,send
135.6152,185000,send
135.6152,186000,send
135.6152,187000,send
135.6152,179000,transmit
135.616,180000,transmit
135.6168,182000,transmit
135.6176,185000,transmit
135.6184,186000,transmit
135.6384,177000,ack
136.6384,178000,send
136.6384,178000,transmit
136.6592,180000,ack
136.6592,181000,send
136.6592,182000,send
136.6592,183000,send
136.6592,184000,send
136.6592,185000,send
136.6592,186000,send
136.6592,187000,send
136.6592,188000,send
136.6592,189000,send
136.6592,190000,send
136.6592,181000,transmit
136.66,182000,transmit
136.6608,183000,transmit
136.6616,185000,transmit
136.6624,186000,transmit
136.6808,182000,ack
136.6808,191000,send
136.6808,192000,send
136.6816,183000,ack
136.6816,193000,send
136.6816,193000,transmit
136.7024,183000,ack
137.7024,184000,send
137.7024,184000,transmit
138.7024,184000,send
139.7024,184000,send
139.7024,184000,transmit
139.7232,186000,ack
139.7232,187000,send
139.7232,188000,send
139.7232,189000,send
139.7232,190000,send
139.7232,191000,send
139.7232,192000,send
139.7232,193000,send
139.7232,194000,send
139.7232,195000,send
139.7232,196000,send
139.7232,188000,transmit
139.724,189000,transmit
139.7248,191000,transmit
139.7256,193000,transmit
139.7264,194000,transmit
139.7272,195000,transmit
139.728,196000,transmit
139.7472,186000,ack
139.7488,186000,ack
140.7488,187000,send
140.7488,187000,transmit
140.7696,189000,ack
140.7696,190000,send
140.7696,191000,send
140.7696,192000,send
140.7696,193000,send
140.7696,194000,send
140.7696,195000,send
140.7696,196000,send
140.7696,197000,send
140.7696,198000,send
140.7696,199000,send
140.7696,192000,transmit
140.7704,193000,transmit
140.7712,194000,transmit
140.772,195000,transmit
140.7728,196000,transmit
140.7736,197000,transmit
140.7744,198000,transmit
140.7904,189000,ack
140.7912,189000,ack
140.7944,189000,ack
140.7952,189000,ack
141.7952,190000,send
141.7952,190000,transmit
142.7952,190000,send
